Region,Diagnosis,Total_Cases,Year,Month,Avg_Temperature,High_Risk,Humidity,Migratory_Bird_Activity,Migration_Level,Biosecurity_Score,Total_Cases_Percent,Biosecurity_Score_Percent,Vaccine_Rate,Poultry_Population_000s
Scotland,Infectious Bronchitis,27,2018,9,5.9,1,68.0,Low,1,77,18.120805369127517,73.33333333333333,41.3,280
Scotland,Infectious Bursal Disease,6,2018,9,5.9,0,68.0,Low,1,65,4.026845637583892,33.33333333333333,54.4,309
Scotland,Marek's Disease,2,2018,9,5.9,0,68.0,Low,1,63,1.342281879194631,26.666666666666668,42.9,413
Scotland,All diseases,72,2018,9,5.9,1,68.0,Low,1,74,48.322147651006716,63.33333333333333,55.9,253
Wales,Avian Influenza,2,2018,9,13.1,0,90.8,High,3,66,1.342281879194631,36.666666666666664,66.3,620
Wales,Newcastle Disease,0,2018,9,13.1,0,90.8,High,3,74,0.0,63.33333333333333,64.6,455
Wales,Salmonella,19,2018,9,13.1,1,90.8,High,3,67,12.751677852348994,40.0,74.8,408
Wales,Infectious Bronchitis,21,2018,9,13.1,1,90.8,High,3,68,14.093959731543624,43.333333333333336,69.5,646
Wales,Infectious Bursal Disease,6,2018,9,13.1,0,90.8,High,3,79,4.026845637583892,80.0,78.0,534
Wales,Marek's Disease,5,2018,9,13.1,0,90.8,High,3,70,3.3557046979865772,50.0,70.8,561
Wales,All diseases,53,2018,9,13.1,1,90.8,High,3,68,35.57046979865772,43.333333333333336,60.5,666
England North,Avian Influenza,19,2018,10,12.9,1,90.0,Low,1,63,12.751677852348994,26.666666666666668,58.5,463
England North,Newcastle Disease,5,2018,10,12.9,0,90.0,Low,1,73,3.3557046979865772,60.0,63.1,243
England North,Salmonella,45,2018,10,12.9,1,90.0,Low,1,75,30.201342281879196,66.66666666666666,57.4,463
England North,Infectious Bronchitis,44,2018,10,12.9,1,90.0,Low,1,76,29.53020134228188,70.0,40.2,476
England North,Infectious Bursal Disease,7,2018,10,12.9,0,90.0,Low,1,73,4.697986577181208,60.0,47.2,326
England North,Marek's Disease,9,2018,10,12.9,0,90.0,Low,1,69,6.0402684563758395,46.666666666666664,48.2,486
England North,All diseases,129,2018,10,12.9,1,90.0,Low,1,71,86.57718120805369,53.333333333333336,43.4,296
England South,Avian Influenza,14,2018,10,2.9,1,72.9,Low,1,69,9.395973154362416,46.666666666666664,53.8,433
England South,Newcastle Disease,2,2018,10,2.9,0,72.9,Low,1,66,1.342281879194631,36.666666666666664,50.8,448
England South,Salmonella,33,2018,10,2.9,1,72.9,Low,1,64,22.14765100671141,30.0,53.1,205
England South,Infectious Bronchitis,32,2018,10,2.9,1,72.9,Low,1,77,21.476510067114095,73.33333333333333,61.1,338
England South,Infectious Bursal Disease,12,2018,10,2.9,1,72.9,Low,1,71,8.053691275167784,53.333333333333336,48.4,402
England South,Marek's Disease,7,2018,10,2.9,0,72.9,Low,1,80,4.697986577181208,83.33333333333334,54.0,415
England South,All diseases,100,2018,10,2.9,1,72.9,Low,1,75,67.11409395973155,66.66666666666666,41.9,375
Scotland,Avian Influenza,6,2018,10,3.7,0,94.8,Low,1,78,4.026845637583892,76.66666666666667,59.5,406
Scotland,Newcastle Disease,0,2018,10,3.7,0,94.8,Low,1,72,0.0,56.666666666666664,48.3,308
Scotland,Salmonella,32,2018,10,3.7,1,94.8,Low,1,72,21.476510067114095,56.666666666666664,59.3,485
Scotland,Infectious Bronchitis,28,2018,10,3.7,1,94.8,Low,1,66,18.79194630872483,36.666666666666664,56.8,471
Scotland,Infectious Bursal Disease,6,2018,10,3.7,0,94.8,Low,1,73,4.026845637583892,60.0,50.0,478
Scotland,Marek's Disease,4,2018,10,3.7,0,94.8,Low,1,69,2.684563758389262,46.666666666666664,40.7,214
Scotland,All diseases,76,2018,10,3.7,1,94.8,Low,1,64,51.006711409395976,30.0,45.3,289
Wales,Avian Influenza,5,2018,10,16.6,0,72.1,High,3,65,3.3557046979865772,33.33333333333333,79.0,699
Wales,Newcastle Disease,0,2018,10,16.6,0,72.1,High,3,76,0.0,70.0,64.2,591
Wales,Salmonella,21,2018,10,16.6,1,72.1,High,3,67,14.093959731543624,40.0,66.7,427
Wales,Infectious Bronchitis,21,2018,10,16.6,1,72.1,High,3,66,14.093959731543624,36.666666666666664,74.6,649
Wales,Infectious Bursal Disease,6,2018,10,16.6,0,72.1,High,3,79,4.026845637583892,80.0,66.5,537
Wales,Marek's Disease,5,2018,10,16.6,0,72.1,High,3,75,3.3557046979865772,66.66666666666666,71.9,510
Wales,All diseases,58,2018,10,16.6,1,72.1,High,3,74,38.92617449664429,63.33333333333333,62.4,686
England North,Avian Influenza,21,2018,11,11.9,1,67.5,Low,1,72,14.093959731543624,56.666666666666664,42.8,328
England North,Newcastle Disease,4,2018,11,11.9,0,67.5,Low,1,62,2.684563758389262,23.333333333333332,49.3,306
England North,Salmonella,37,2018,11,11.9,1,67.5,Low,1,70,24.832214765100673,50.0,45.1,242
England North,Infectious Bronchitis,47,2018,11,11.9,1,67.5,Low,1,63,31.543624161073826,26.666666666666668,41.2,427
England North,Infectious Bursal Disease,8,2018,11,11.9,0,67.5,Low,1,62,5.369127516778524,23.333333333333332,52.5,206
England North,Marek's Disease,8,2018,11,11.9,0,67.5,Low,1,70,5.369127516778524,50.0,41.9,433
England North,All diseases,125,2018,11,11.9,1,67.5,Low,1,65,83.89261744966443,33.33333333333333,41.4,264
England South,Avian Influenza,16,2018,11,10.5,1,78.7,Low,1,79,10.738255033557047,80.0,56.2,272
England South,Newcastle Disease,4,2018,11,10.5,0,78.7,Low,1,65,2.684563758389262,33.33333333333333,45.9,413
England South,Salmonella,26,2018,11,10.5,1,78.7,Low,1,71,17.449664429530202,53.333333333333336,56.0,370
England South,Infectious Bronchitis,37,2018,11,10.5,1,78.7,Low,1,61,24.832214765100673,20.0,46.0,307
England South,Infectious Bursal Disease,11,2018,11,10.5,1,78.7,Low,1,80,7.38255033557047,83.33333333333334,51.9,245
England South,Marek's Disease,7,2018,11,10.5,0,78.7,Low,1,67,4.697986577181208,40.0,42.0,391
England South,All diseases,101,2018,11,10.5,1,78.7,Low,1,75,67.78523489932886,66.66666666666666,46.0,461
Scotland,Avian Influenza,7,2018,11,2.9,0,79.8,Low,1,62,4.697986577181208,23.333333333333332,42.2,259
Scotland,Newcastle Disease,1,2018,11,2.9,0,79.8,Low,1,70,0.6711409395973155,50.0,46.5,346
Scotland,Salmonella,21,2018,11,2.9,1,79.8,Low,1,77,14.093959731543624,73.33333333333333,43.6,398
Scotland,Infectious Bronchitis,27,2018,11,2.9,1,79.8,Low,1,70,18.120805369127517,50.0,52.7,316
Scotland,Infectious Bursal Disease,7,2018,11,2.9,0,79.8,Low,1,75,4.697986577181208,66.66666666666666,51.5,331
Scotland,Marek's Disease,4,2018,11,2.9,0,79.8,Low,1,61,2.684563758389262,20.0,44.5,293
Scotland,All diseases,67,2018,11,2.9,1,79.8,Low,1,61,44.966442953020135,20.0,51.9,486
Wales,Avian Influenza,3,2018,11,14.4,0,89.0,High,3,69,2.013422818791946,46.666666666666664,78.9,634
Wales,Newcastle Disease,0,2018,11,14.4,0,89.0,High,3,69,0.0,46.666666666666664,78.8,697
Wales,Salmonella,12,2018,11,14.4,1,89.0,High,3,67,8.053691275167784,40.0,73.3,694
Wales,Infectious Bronchitis,19,2018,11,14.4,1,89.0,High,3,77,12.751677852348994,73.33333333333333,69.8,432
Wales,Infectious Bursal Disease,6,2018,11,14.4,0,89.0,High,3,75,4.026845637583892,66.66666666666666,66.9,577
Wales,Marek's Disease,5,2018,11,14.4,0,89.0,High,3,76,3.3557046979865772,70.0,73.2,663
Wales,All diseases,45,2018,11,14.4,1,89.0,High,3,71,30.201342281879196,53.333333333333336,72.6,699
England North,Avian Influenza,24,2018,12,15.4,1,67.5,Low,1,82,16.10738255033557,90.0,46.3,446
England North,Newcastle Disease,4,2018,12,15.4,0,67.5,Low,1,71,2.684563758389262,53.333333333333336,66.5,478
England North,Salmonella,25,2018,12,15.4,1,67.5,Low,1,81,16.778523489932887,86.66666666666667,64.3,389
England North,Infectious Bronchitis,48,2018,12,15.4,1,67.5,Low,1,66,32.21476510067114,36.666666666666664,55.5,385
England North,Infectious Bursal Disease,8,2018,12,15.4,0,67.5,Low,1,76,5.369127516778524,70.0,43.9,309
England North,Marek's Disease,9,2018,12,15.4,0,67.5,Low,1,78,6.0402684563758395,76.66666666666667,52.7,482
England North,All diseases,118,2018,12,15.4,1,67.5,Low,1,73,79.19463087248322,60.0,56.6,435
England South,Avian Influenza,20,2018,12,7.3,1,85.2,Low,1,70,13.422818791946309,50.0,50.3,492
England South,Newcastle Disease,3,2018,12,7.3,0,85.2,Low,1,80,2.013422818791946,83.33333333333334,61.8,395
England South,Salmonella,20,2018,12,7.3,1,85.2,Low,1,76,13.422818791946309,70.0,53.6,490
England South,Infectious Bronchitis,39,2018,12,7.3,1,85.2,Low,1,72,26.174496644295303,56.666666666666664,52.8,292
England South,Infectious Bursal Disease,13,2018,12,7.3,1,85.2,Low,1,71,8.724832214765101,53.333333333333336,57.1,337
England South,Marek's Disease,5,2018,12,7.3,0,85.2,Low,1,84,3.3557046979865772,96.66666666666667,66.0,450
England South,All diseases,100,2018,12,7.3,1,85.2,Low,1,78,67.11409395973155,76.66666666666667,62.0,226
Scotland,Avian Influenza,8,2018,12,15.9,0,83.7,Low,1,72,5.369127516778524,56.666666666666664,43.5,342
Scotland,Newcastle Disease,2,2018,12,15.9,0,83.7,Low,1,68,1.342281879194631,43.333333333333336,59.3,471
Scotland,Salmonella,17,2018,12,15.9,1,83.7,Low,1,77,11.409395973154362,73.33333333333333,68.0,385
Scotland,Infectious Bronchitis,34,2018,12,15.9,1,83.7,Low,1,65,22.818791946308725,33.33333333333333,62.1,213
Scotland,Infectious Bursal Disease,6,2018,12,15.9,0,83.7,Low,1,70,4.026845637583892,50.0,53.2,324
Scotland,Marek's Disease,4,2018,12,15.9,0,83.7,Low,1,85,2.684563758389262,100.0,43.6,363
Scotland,All diseases,71,2018,12,15.9,1,83.7,Low,1,81,47.651006711409394,86.66666666666667,58.2,263
Wales,Avian Influenza,4,2018,12,3.7,0,80.3,Moderate,2,72,2.684563758389262,56.666666666666664,66.8,673
Wales,Newcastle Disease,1,2018,12,3.7,0,80.3,Moderate,2,81,0.6711409395973155,86.66666666666667,80.6,577
Wales,Salmonella,11,2018,12,3.7,1,80.3,Moderate,2,73,7.38255033557047,60.0,73.5,421
Wales,Infectious Bronchitis,22,2018,12,3.7,1,80.3,Moderate,2,75,14.76510067114094,66.66666666666666,82.8,669
Wales,Infectious Bursal Disease,5,2018,12,3.7,0,80.3,Moderate,2,76,3.3557046979865772,70.0,72.6,509
Wales,Marek's Disease,3,2018,12,3.7,0,80.3,Moderate,2,84,2.013422818791946,96.66666666666667,79.6,487
Wales,All diseases,46,2018,12,3.7,1,80.3,Moderate,2,70,30.87248322147651,50.0,81.7,605
England North,Avian Influenza,19,2019,1,8.0,1,85.9,Low,1,78,12.751677852348994,76.66666666666667,61.2,431
England North,Newcastle Disease,5,2019,1,8.0,0,85.9,Low,1,85,3.3557046979865772,100.0,55.9,303
England North,Salmonella,41,2019,1,8.0,1,85.9,Low,1,74,27.516778523489933,63.33333333333333,56.0,282
England North,Infectious Bronchitis,50,2019,1,8.0,1,85.9,Low,1,75,33.557046979865774,66.66666666666666,65.4,492
England North,Infectious Bursal Disease,9,2019,1,8.0,0,85.9,Low,1,65,6.0402684563758395,33.33333333333333,67.5,239
England North,Marek's Disease,8,2019,1,8.0,0,85.9,Low,1,73,5.369127516778524,60.0,55.3,212
England North,All diseases,132,2019,1,8.0,1,85.9,Low,1,79,88.59060402684564,80.0,56.5,298
England South,Avian Influenza,15,2019,1,13.2,1,94.1,Low,1,70,10.06711409395973,50.0,54.8,393
England South,Newcastle Disease,2,2019,1,13.2,0,94.1,Low,1,68,1.342281879194631,43.333333333333336,44.8,322
England South,Salmonella,27,2019,1,13.2,1,94.1,Low,1,72,18.120805369127517,56.666666666666664,52.6,318
England South,Infectious Bronchitis,39,2019,1,13.2,1,94.1,Low,1,75,26.174496644295303,66.66666666666666,60.3,347
England South,Infectious Bursal Disease,10,2019,1,13.2,1,94.1,Low,1,81,6.7114093959731544,86.66666666666667,51.1,314
England South,Marek's Disease,7,2019,1,13.2,0,94.1,Low,1,73,4.697986577181208,60.0,60.8,413
England South,All diseases,100,2019,1,13.2,1,94.1,Low,1,83,67.11409395973155,93.33333333333333,56.9,492
Scotland,Avian Influenza,12,2019,1,8.1,1,92.6,Low,1,78,8.053691275167784,76.66666666666667,61.8,296
Scotland,Newcastle Disease,1,2019,1,8.1,0,92.6,Low,1,77,0.6711409395973155,73.33333333333333,61.4,432
Scotland,Salmonella,24,2019,1,8.1,1,92.6,Low,1,72,16.10738255033557,56.666666666666664,61.9,265
Scotland,Infectious Bronchitis,26,2019,1,8.1,1,92.6,Low,1,65,17.449664429530202,33.33333333333333,54.8,238
Scotland,Infectious Bursal Disease,8,2019,1,8.1,0,92.6,Low,1,68,5.369127516778524,43.333333333333336,51.5,254
Scotland,Marek's Disease,4,2019,1,8.1,0,92.6,Low,1,85,2.684563758389262,100.0,48.3,251
Scotland,All diseases,75,2019,1,8.1,1,92.6,Low,1,69,50.33557046979866,46.666666666666664,59.5,334
Wales,Avian Influenza,7,2019,1,6.9,0,71.3,Moderate,2,84,4.697986577181208,96.66666666666667,80.4,621
Wales,Newcastle Disease,1,2019,1,6.9,0,71.3,Moderate,2,80,0.6711409395973155,83.33333333333334,71.4,526
Wales,Salmonella,14,2019,1,6.9,1,71.3,Moderate,2,75,9.395973154362416,66.66666666666666,83.0,462
Wales,Infectious Bronchitis,18,2019,1,6.9,1,71.3,Moderate,2,79,12.080536912751679,80.0,77.8,401
Wales,Infectious Bursal Disease,6,2019,1,6.9,0,71.3,Moderate,2,82,4.026845637583892,90.0,76.6,659
Wales,Marek's Disease,5,2019,1,6.9,0,71.3,Moderate,2,83,3.3557046979865772,93.33333333333333,66.4,629
Wales,All diseases,51,2019,1,6.9,1,71.3,Moderate,2,80,34.22818791946309,83.33333333333334,71.9,434
England North,Avian Influenza,18,2019,2,17.8,1,72.3,Low,1,70,12.080536912751679,50.0,64.4,347
England North,Newcastle Disease,2,2019,2,17.8,0,72.3,Low,1,77,1.342281879194631,73.33333333333333,66.5,336
England North,Salmonella,43,2019,2,17.8,1,72.3,Low,1,73,28.859060402684566,60.0,43.3,485
England North,Infectious Bronchitis,41,2019,2,17.8,1,72.3,Low,1,74,27.516778523489933,63.33333333333333,44.3,449
England North,Infectious Bursal Disease,10,2019,2,17.8,1,72.3,Low,1,68,6.7114093959731544,43.333333333333336,50.6,307
England North,Marek's Disease,6,2019,2,17.8,0,72.3,Low,1,79,4.026845637583892,80.0,67.8,233
England North,All diseases,120,2019,2,17.8,1,72.3,Low,1,67,80.53691275167785,40.0,48.3,428
England South,Avian Influenza,13,2019,2,14.0,1,79.9,Low,1,71,8.724832214765101,53.333333333333336,56.4,405
England South,Newcastle Disease,3,2019,2,14.0,0,79.9,Low,1,80,2.013422818791946,83.33333333333334,48.8,458
England South,Salmonella,33,2019,2,14.0,1,79.9,Low,1,76,22.14765100671141,70.0,63.9,494
England South,Infectious Bronchitis,34,2019,2,14.0,1,79.9,Low,1,81,22.818791946308725,86.66666666666667,47.8,293
England South,Infectious Bursal Disease,12,2019,2,14.0,1,79.9,Low,1,65,8.053691275167784,33.33333333333333,61.5,244
England South,Marek's Disease,7,2019,2,14.0,0,79.9,Low,1,77,4.697986577181208,73.33333333333333,46.5,220
England South,All diseases,102,2019,2,14.0,1,79.9,Low,1,85,68.45637583892618,100.0,52.5,393
Scotland,Avian Influenza,9,2019,2,14.6,0,82.4,Low,1,70,6.0402684563758395,50.0,58.8,353
Scotland,Newcastle Disease,1,2019,2,14.6,0,82.4,Low,1,74,0.6711409395973155,63.33333333333333,44.0,246
Scotland,Salmonella,25,2019,2,14.6,1,82.4,Low,1,69,16.778523489932887,46.666666666666664,60.9,320
Scotland,Infectious Bronchitis,27,2019,2,14.6,1,82.4,Low,1,72,18.120805369127517,56.666666666666664,47.7,261
Scotland,Infectious Bursal Disease,8,2019,2,14.6,0,82.4,Low,1,65,5.369127516778524,33.33333333333333,47.9,322
Scotland,Marek's Disease,3,2019,2,14.6,0,82.4,Low,1,77,2.013422818791946,73.33333333333333,52.3,236
Scotland,All diseases,73,2019,2,14.6,1,82.4,Low,1,72,48.99328859060403,56.666666666666664,47.6,324
Wales,Avian Influenza,8,2019,2,13.4,0,65.1,Moderate,2,71,5.369127516778524,53.333333333333336,71.7,696
Wales,Newcastle Disease,0,2019,2,13.4,0,65.1,Moderate,2,83,0.0,93.33333333333333,67.9,602
Wales,Salmonella,15,2019,2,13.4,1,65.1,Moderate,2,75,10.06711409395973,66.66666666666666,69.5,602
Wales,Infectious Bronchitis,17,2019,2,13.4,1,65.1,Moderate,2,81,11.409395973154362,86.66666666666667,63.9,592
Wales,Infectious Bursal Disease,7,2019,2,13.4,0,65.1,Moderate,2,72,4.697986577181208,56.666666666666664,68.2,402
Wales,Marek's Disease,6,2019,2,13.4,0,65.1,Moderate,2,81,4.026845637583892,86.66666666666667,69.0,569
Wales,All diseases,53,2019,2,13.4,1,65.1,Moderate,2,75,35.57046979865772,66.66666666666666,72.0,601
England North,Avian Influenza,13,2019,3,11.9,1,78.5,Low,1,69,8.724832214765101,46.666666666666664,40.0,244
England North,Newcastle Disease,3,2019,3,11.9,0,78.5,Low,1,63,2.013422818791946,26.666666666666668,51.4,290
England North,Salmonella,51,2019,3,11.9,1,78.5,Low,1,80,34.22818791946309,83.33333333333334,58.4,444
England North,Infectious Bronchitis,49,2019,3,11.9,1,78.5,Low,1,70,32.88590604026846,50.0,53.6,393
England North,Infectious Bursal Disease,10,2019,3,11.9,1,78.5,Low,1,79,6.7114093959731544,80.0,42.4,459
England North,Marek's Disease,9,2019,3,11.9,0,78.5,Low,1,62,6.0402684563758395,23.333333333333332,64.5,291
England North,All diseases,135,2019,3,11.9,1,78.5,Low,1,79,90.60402684563759,80.0,63.3,383
England South,Avian Influenza,12,2019,3,5.7,1,69.6,Low,1,62,8.053691275167784,23.333333333333332,58.2,405
England South,Newcastle Disease,3,2019,3,5.7,0,69.6,Low,1,77,2.013422818791946,73.33333333333333,44.5,360
England South,Salmonella,26,2019,3,5.7,1,69.6,Low,1,65,17.449664429530202,33.33333333333333,41.7,205
England South,Infectious Bronchitis,33,2019,3,5.7,1,69.6,Low,1,66,22.14765100671141,36.666666666666664,50.5,305
England South,Infectious Bursal Disease,12,2019,3,5.7,1,69.6,Low,1,74,8.053691275167784,63.33333333333333,60.5,476
England South,Marek's Disease,7,2019,3,5.7,0,69.6,Low,1,70,4.697986577181208,50.0,56.0,266
England South,All diseases,93,2019,3,5.7,1,69.6,Low,1,61,62.41610738255034,20.0,52.1,273
Scotland,Avian Influenza,10,2019,3,11.3,1,66.4,Low,1,60,6.7114093959731544,16.666666666666664,47.6,353
Scotland,Newcastle Disease,3,2019,3,11.3,0,66.4,Low,1,78,2.013422818791946,76.66666666666667,56.0,206
Scotland,Salmonella,24,2019,3,11.3,1,66.4,Low,1,67,16.10738255033557,40.0,53.1,382
Scotland,Infectious Bronchitis,31,2019,3,11.3,1,66.4,Low,1,66,20.80536912751678,36.666666666666664,54.8,451
Scotland,Infectious Bursal Disease,9,2019,3,11.3,0,66.4,Low,1,69,6.0402684563758395,46.666666666666664,49.3,360
Scotland,Marek's Disease,3,2019,3,11.3,0,66.4,Low,1,80,2.013422818791946,83.33333333333334,57.6,304
Scotland,All diseases,80,2019,3,11.3,1,66.4,Low,1,64,53.691275167785236,30.0,51.5,396
Wales,Avian Influenza,6,2019,3,9.9,0,83.8,High,3,69,4.026845637583892,46.666666666666664,70.8,668
Wales,Newcastle Disease,0,2019,3,9.9,0,83.8,High,3,67,0.0,40.0,61.2,445
Wales,Salmonella,14,2019,3,9.9,1,83.8,High,3,68,9.395973154362416,43.333333333333336,70.5,574
Wales,Infectious Bronchitis,17,2019,3,9.9,1,83.8,High,3,68,11.409395973154362,43.333333333333336,62.9,557
Wales,Infectious Bursal Disease,7,2019,3,9.9,0,83.8,High,3,76,4.697986577181208,70.0,61.7,677
Wales,Marek's Disease,5,2019,3,9.9,0,83.8,High,3,69,3.3557046979865772,46.666666666666664,64.8,668
Wales,All diseases,49,2019,3,9.9,1,83.8,High,3,73,32.88590604026846,60.0,65.6,556
England North,Avian Influenza,13,2019,4,12.7,1,73.1,Low,1,62,8.724832214765101,23.333333333333332,57.7,255
England North,Newcastle Disease,4,2019,4,12.7,0,73.1,Low,1,69,2.684563758389262,46.666666666666664,54.3,301
England North,Salmonella,59,2019,4,12.7,1,73.1,Low,1,80,39.59731543624161,83.33333333333334,50.6,202
England North,Infectious Bronchitis,48,2019,4,12.7,1,73.1,Low,1,61,32.21476510067114,20.0,44.3,245
England North,Infectious Bursal Disease,9,2019,4,12.7,0,73.1,Low,1,66,6.0402684563758395,36.666666666666664,53.3,439
England North,Marek's Disease,9,2019,4,12.7,0,73.1,Low,1,68,6.0402684563758395,43.333333333333336,46.7,220
England North,All diseases,142,2019,4,12.7,1,73.1,Low,1,74,95.30201342281879,63.33333333333333,57.4,339
England South,Avian Influenza,10,2019,4,10.4,1,90.1,Low,1,73,6.7114093959731544,60.0,59.1,353
England South,Newcastle Disease,4,2019,4,10.4,0,90.1,Low,1,62,2.684563758389262,23.333333333333332,42.3,403
England South,Salmonella,26,2019,4,10.4,1,90.1,Low,1,71,17.449664429530202,53.333333333333336,59.9,247
England South,Infectious Bronchitis,37,2019,4,10.4,1,90.1,Low,1,75,24.832214765100673,66.66666666666666,40.7,204
England South,Infectious Bursal Disease,11,2019,4,10.4,1,90.1,Low,1,79,7.38255033557047,80.0,60.1,396
England South,Marek's Disease,7,2019,4,10.4,0,90.1,Low,1,79,4.697986577181208,80.0,42.8,347
England South,All diseases,95,2019,4,10.4,1,90.1,Low,1,69,63.758389261744966,46.666666666666664,61.2,346
Scotland,Avian Influenza,9,2019,4,17.8,0,73.9,Low,1,67,6.0402684563758395,40.0,50.3,257
Scotland,Newcastle Disease,2,2019,4,17.8,0,73.9,Low,1,79,1.342281879194631,80.0,52.7,412
Scotland,Salmonella,26,2019,4,17.8,1,73.9,Low,1,69,17.449664429530202,46.666666666666664,60.1,349
Scotland,Infectious Bronchitis,33,2019,4,17.8,1,73.9,Low,1,62,22.14765100671141,23.333333333333332,65.0,411
Scotland,Infectious Bursal Disease,8,2019,4,17.8,0,73.9,Low,1,66,5.369127516778524,36.666666666666664,43.4,487
Scotland,Marek's Disease,5,2019,4,17.8,0,73.9,Low,1,77,3.3557046979865772,73.33333333333333,59.8,203
Scotland,All diseases,83,2019,4,17.8,1,73.9,Low,1,69,55.70469798657718,46.666666666666664,60.2,322
Wales,Avian Influenza,6,2019,4,13.9,0,81.0,High,3,74,4.026845637583892,63.33333333333333,72.9,651
Wales,Newcastle Disease,1,2019,4,13.9,0,81.0,High,3,77,0.6711409395973155,73.33333333333333,78.7,430
Wales,Salmonella,14,2019,4,13.9,1,81.0,High,3,71,9.395973154362416,53.333333333333336,77.3,425
Wales,Infectious Bronchitis,20,2019,4,13.9,1,81.0,High,3,66,13.422818791946309,36.666666666666664,75.0,589
Wales,Infectious Bursal Disease,6,2019,4,13.9,0,81.0,High,3,79,4.026845637583892,80.0,77.0,412
Wales,Marek's Disease,5,2019,4,13.9,0,81.0,High,3,78,3.3557046979865772,76.66666666666667,72.4,591
Wales,All diseases,52,2019,4,13.9,1,81.0,High,3,72,34.899328859060404,56.666666666666664,73.5,445
England North,Avian Influenza,10,2019,5,7.0,1,79.0,Low,1,75,6.7114093959731544,66.66666666666666,55.2,233
England North,Newcastle Disease,3,2019,5,7.0,0,79.0,Low,1,60,2.013422818791946,16.666666666666664,48.9,376
England North,Salmonella,68,2019,5,7.0,1,79.0,Low,1,61,45.63758389261745,20.0,56.8,421
England North,Infectious Bronchitis,50,2019,5,7.0,1,79.0,Low,1,75,33.557046979865774,66.66666666666666,48.8,220
England North,Infectious Bursal Disease,10,2019,5,7.0,1,79.0,Low,1,74,6.7114093959731544,63.33333333333333,55.5,266
England North,Marek's Disease,8,2019,5,7.0,0,79.0,Low,1,71,5.369127516778524,53.333333333333336,55.4,439
England North,All diseases,149,2019,5,7.0,1,79.0,Low,1,79,100.0,80.0,64.5,252
England South,Avian Influenza,9,2019,5,17.0,0,89.9,Low,1,69,6.0402684563758395,46.666666666666664,55.4,330
England South,Newcastle Disease,4,2019,5,17.0,0,89.9,Low,1,78,2.684563758389262,76.66666666666667,57.4,499
England South,Salmonella,29,2019,5,17.0,1,89.9,Low,1,70,19.463087248322147,50.0,56.7,236
England South,Infectious Bronchitis,37,2019,5,17.0,1,89.9,Low,1,73,24.832214765100673,60.0,58.5,316
England South,Infectious Bursal Disease,11,2019,5,17.0,1,89.9,Low,1,72,7.38255033557047,56.666666666666664,41.8,268
England South,Marek's Disease,8,2019,5,17.0,0,89.9,Low,1,66,5.369127516778524,36.666666666666664,45.5,395
England South,All diseases,98,2019,5,17.0,1,89.9,Low,1,65,65.77181208053692,33.33333333333333,50.9,445
Scotland,Avian Influenza,7,2019,5,6.2,0,74.9,Low,1,73,4.697986577181208,60.0,56.0,251
Scotland,Newcastle Disease,1,2019,5,6.2,0,74.9,Low,1,68,0.6711409395973155,43.333333333333336,49.0,371
Scotland,Salmonella,31,2019,5,6.2,1,74.9,Low,1,63,20.80536912751678,26.666666666666668,60.9,253
Scotland,Infectious Bronchitis,36,2019,5,6.2,1,74.9,Low,1,63,24.161073825503358,26.666666666666668,55.7,274
Scotland,Infectious Bursal Disease,8,2019,5,6.2,0,74.9,Low,1,78,5.369127516778524,76.66666666666667,62.3,261
Scotland,Marek's Disease,3,2019,5,6.2,0,74.9,Low,1,67,2.013422818791946,40.0,44.3,312
Scotland,All diseases,86,2019,5,6.2,1,74.9,Low,1,75,57.71812080536913,66.66666666666666,49.6,410
Wales,Avian Influenza,3,2019,5,17.7,0,68.2,High,3,66,2.013422818791946,36.666666666666664,71.8,487
Wales,Newcastle Disease,0,2019,5,17.7,0,68.2,High,3,72,0.0,56.666666666666664,61.7,464
Wales,Salmonella,17,2019,5,17.7,1,68.2,High,3,77,11.409395973154362,73.33333333333333,75.0,440
Wales,Infectious Bronchitis,25,2019,5,17.7,1,68.2,High,3,66,16.778523489932887,36.666666666666664,73.1,658
Wales,Infectious Bursal Disease,6,2019,5,17.7,0,68.2,High,3,78,4.026845637583892,76.66666666666667,60.9,609
Wales,Marek's Disease,6,2019,5,17.7,0,68.2,High,3,67,4.026845637583892,40.0,73.6,519
Wales,All diseases,57,2019,5,17.7,1,68.2,High,3,65,38.25503355704698,33.33333333333333,66.5,676
England North,Avian Influenza,10,2019,6,10.1,1,65.3,Low,1,72,6.7114093959731544,56.666666666666664,46.1,465
England North,Newcastle Disease,3,2019,6,10.1,0,65.3,Low,1,63,2.013422818791946,26.666666666666668,46.1,430
England North,Salmonella,69,2019,6,10.1,1,65.3,Low,1,70,46.308724832214764,50.0,38.8,258
England North,Infectious Bronchitis,52,2019,6,10.1,1,65.3,Low,1,68,34.899328859060404,43.333333333333336,40.8,411
England North,Infectious Bursal Disease,8,2019,6,10.1,0,65.3,Low,1,59,5.369127516778524,13.333333333333334,48.5,382
England North,Marek's Disease,6,2019,6,10.1,0,65.3,Low,1,70,4.026845637583892,50.0,61.6,255
England North,All diseases,148,2019,6,10.1,1,65.3,Low,1,58,99.32885906040269,10.0,44.0,408
England South,Avian Influenza,9,2019,6,16.8,0,94.0,Low,1,74,6.0402684563758395,63.33333333333333,44.5,241
